Tempo,numero_eventi,energia_max,energia_media,energia_std,energia_min,eventi_ultime_6h,energia_max_ultime_6h,energia_media_ultime_6h,energia_std_ultime_6h,eventi_ultime_12h,energia_max_ultime_12h,energia_media_ultime_12h,energia_std_ultime_12h,eventi_ultime_24h,energia_max_ultime_24h,energia_media_ultime_24h,energia_std_ultime_24h,eventi_ultime_48h,energia_max_ultime_48h,energia_media_ultime_48h,energia_std_ultime_48h,trend_eventi_12h,trend_energia_12h,trend_eventi_24h,trend_energia_24h,varianza_eventi_24h,varianza_energia_24h,ora_del_giorno,giorno_della_settimana,is_notte,is_weekend,event_rate_1h,event_rate_6h,energia_rate_1h,max_energia_futura,Target_Allarme,future_events_above_threshold,bvalue_approx,event_count,bvalue_rolling_24h,bvalue_std_24h,bvalue_change,energia_p25_24h,energia_p50_24h,energia_p75_24h,energia_p90_24h,energia_p95_24h,skewness_eventi_24h,kurtosis_eventi_24h,entropy_24h,autocorr_1h,autocorr_6h
2026-01-01 10:00:00,14,17.0,6.714285714285714,4.410277706737916,3.0,248.0,17.0,5.3228963985207045,3.183648679269705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0,0,-21.0,-27.0,0.0,17.0,0,0.0,6.714285714285714,14.0,,,1.628571428571429,,,,,,-0.7741299168666942,0.09833565034145142,,0.9745352296211712,0.8378163647101731
2026-01-01 11:00:00,17,17.0,5.823529411764706,3.98803357116084,3.0,214.0,17.0,5.4862950913311614,3.4235693156413496,456.0,17.0,5.582537378957853,3.4144707329509125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1468531468531444,5.071173435440658e-16,0.0,0.0,0.0,0.0,11,3,0,0,3.0,-34.0,0.0,17.0,0,0.0,5.823529411764706,17.0,,,-0.8907563025210088,,,,,,-0.5258676481385786,-0.8398203154137138,,0.9745352296211712,0.8378163647101731
2026-01-01 12:00:00,8,17.0,8.25,5.11998883927355,4.0,169.0,17.0,6.018527795733678,3.7949453098971193,442.0,17.0,5.633673742594216,3.4316382489396715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.027972027972025,5.071173435440658e-16,0.0,0.0,0.0,0.0,12,3,0,0,-9.0,-45.0,0.0,17.0,0,0.0,8.25,8.0,,,2.4264705882352944,,,,,,-0.47970581014516717,-1.019717240715238,,0.9745352296211712,0.8378163647101731
2026-01-01 13:00:00,15,17.0,6.666666666666667,4.186144947778269,3.0,128.0,17.0,6.269519859225742,4.025778180534025,421.0,17.0,5.735525594446069,3.487412590424738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9055944055944014,5.071173435440658e-16,0.0,0.0,0.0,0.0,13,3,0,0,7.0,-41.0,0.0,17.0,0,0.0,6.666666666666667,15.0,,,-1.583333333333333,,,,,,-0.2759365872928733,-1.3678226019090447,,0.9745352296211712,0.8378163647101731
2026-01-01 14:00:00,20,17.0,6.05,4.2608993367474355,3.0,109.0,17.0,6.431699346405228,4.194670308835016,390.0,17.0,5.7821759212434545,3.5777169064223684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.762237762237758,5.071173435440658e-16,0.0,0.0,0.0,0.0,14,3,0,0,5.0,-19.0,0.0,17.0,0,0.0,6.05,20.0,,,-0.6166666666666671,,,,,,-0.11393267873648626,-1.4563630974037607,,0.9745352296211712,0.8378163647101731
2026-01-01 15:00:00,54,17.0,4.944444444444445,2.8178452002065413,3.0,128.0,17.0,6.408154372860255,4.1305316003174255,403.0,17.0,5.75518856803659,3.547683875148459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.548951048951048,5.071173435440658e-16,0.0,0.0,0.0,0.0,15,3,0,0,34.0,19.0,0.0,17.0,0,0.0,4.944444444444445,54.0,,,-1.1055555555555552,,,,,,-0.21668380138138404,-1.4700403580426062,,0.9745352296211712,0.8378163647101731
2026-01-01 16:00:00,71,17.0,4.845070422535211,2.539110571631298,3.0,185.0,17.0,6.096618490901839,3.8186704111329894,433.0,17.0,5.709757444711271,3.501159545201347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7727272727272718,5.071173435440658e-16,0.0,0.0,0.0,0.0,16,3,0,0,17.0,57.0,0.0,17.0,0,0.0,4.845070422535211,71.0,,,-0.09937402190923361,,,,,,0.02301940625987093,-0.9553337534454167,,0.9745352296211712,0.8378163647101731
2026-01-01 17:00:00,80,17.0,4.8,2.415142106047812,3.0,248.0,17.0,5.926030255607721,3.5565218336141506,462.0,17.0,5.706162673469442,3.49004557462775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5944055944055933,5.071173435440658e-16,0.0,0.0,0.0,0.0,17,3,0,0,9.0,63.0,0.0,17.0,0,0.0,4.8,80.0,,,-0.04507042253521121,,,,,,0.25249798565949055,-0.5906284660497412,,0.9745352296211712,0.8378163647101731
2026-01-01 18:00:00,78,17.0,4.884615384615385,2.3630311220794544,3.0,318.0,17.0,5.365132819710285,3.0970288807484683,487.0,17.0,5.691830307721982,3.4459870953227933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7727272727272707,5.071173435440658e-16,0.0,0.0,0.0,0.0,18,3,0,0,-2.0,70.0,0.0,17.0,0,0.0,4.884615384615385,78.0,,,0.0846153846153852,,,,,,0.23608640068470121,-0.7921486021359461,,0.9745352296211712,0.8378163647101731
2026-01-01 19:00:00,76,17.0,4.894736842105263,2.3809182954953663,3.0,379.0,17.0,5.069811182283384,2.796157772034651,507.0,17.0,5.669665520754563,3.410967976284338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835664335664333,5.071173435440658e-16,0.0,0.0,0.0,0.0,19,3,0,0,-2.0,61.0,0.0,17.0,0,0.0,4.894736842105263,76.0,,,0.010121457489877805,,,,,,0.15763403776323498,-0.9993449504487737,,0.9745352296211712,0.8378163647101731
2026-01-01 20:00:00,87,17.0,5.045977011494253,2.4585306917458003,3.0,446.0,17.0,4.902474017532426,2.495762997867712,555.0,17.0,5.667086681968827,3.3452166533513643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.409090909090906,5.071173435440658e-16,0.0,0.0,0.0,0.0,20,3,0,0,11.0,67.0,0.0,17.0,0,0.0,5.045977011494253,87.0,,,0.15124016938899043,,,,,,0.17708710301111666,-1.0202419257158644,,0.9745352296211712,0.8378163647101731
2026-01-01 21:00:00,98,17.0,4.785714285714286,2.2487109709626605,3.0,490.0,17.0,4.876018991077399,2.400907292993732,618.0,17.0,5.642086681968827,3.265719446655579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.888111888111887,5.071173435440658e-16,0.0,0.0,0.0,0.0,21,3,0,0,11.0,44.0,0.0,17.0,0,0.0,4.785714285714286,98.0,,,-0.2602627257799677,,,,,,0.27040443944515613,-0.8781572133191302,,0.9745352296211712,0.8378163647101731
