Numero_Stazioni_Attivate,Conteggio_Eventi
3,8225
4,44820
5,20439
6,9465
7,3714
8,1633
9,877
10,558
11,475
12,450
13,427
14,391
15,438
16,596
17,489
18,202
19,161
20,55
