Modello,F1-Score,ROC-AUC,PR-AUC,MCC,Cohen Kappa,Brier Score (↓)
XGBOOST,1.0,1.0,1.0,1.0,1.0,0.0003
RANDOM_FOREST,0.9077,1.0,1.0,0.0,0.0,0.0758
TRANSFORMER,0.9008,0.2381,0.7527,0.0,0.0,0.1481
